# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 191, mean track length: 2
150 5.90381 7.8866 31.489 82 66 43 0.162436 8 1712 3 1974
151 6.78594 -8.4387 22.8704 88 83 77 2.18717 8 1811 3 2434
152 7.55581 -7.85721 22.4097 128 115 106 0.334271 8 1820 3 1511
153 1.94872 -7.1517 26.5716 85 80 74 0.186484 8 1854 3 1592
154 8.09506 -5.91285 25.8753 68 65 48 1.92763 8 1876 3 682
155 20.2802 -0.387636 47.8896 141 133 114 0.0251589 8 1964 3 2664
156 15.2749 0.495563 74.4115 114 109 103 2.92703 8 1967 3 1805
157 -1.32033 1.17847 49.7464 55 50 44 0.247623 8 1981 3 1822
158 21.9665 20.4954 48.6498 206 189 173 0.859422 8 1982 3 1428
159 -6.33451 -8.81008 42.4901 86 112 159 0.233416 8 1993 3 1216
160 -6.36002 -7.36844 42.4062 28 107 182 0.162884 8 1995 3 1223
161 0.330501 -0.440871 12.1183 118 141 173 2.19671 8 2126 3 470
162 -5.38756 4.81942 40.4836 76 75 74 0.766641 8 2146 3 948
163 5.14723 6.52999 31.2079 126 116 89 0.401785 8 2196 3 1599
164 5.32911 6.86736 31.3253 130 104 77 0.340356 8 2202 3 3301
165 7.90778 7.47877 31.9252 217 193 165 2.67257 8 2217 3 3149
166 5.45716 7.75927 31.6499 170 158 119 0.162261 8 2228 3 1870
167 5.76612 8.07452 31.7014 111 95 71 0.640426 8 2249 3 1875
168 -5.88914 6.36597 26.4306 73 77 86 1.6618 8 2250 3 3234
169 5.45682 8.72883 31.9975 189 178 160 1.83795 8 2288 3 3227
170 12.3078 13.5324 37.425 227 211 188 0.301697 8 2477 3 2250
171 4.61338 10.1746 28.8511 167 152 121 0.607298 8 2486 3 3245
172 8.38356 10.2956 30.2186 203 188 166 2.34906 8 2494 3 2065
173 10.4484 8.82333 19.5828 240 224 201 1.60777 8 2624 3 1402
174 11.1197 -10.7542 17.7217 182 178 166 0.463211 8 2649 3 1384
175 4.68951 -11.7595 29.9069 90 85 81 3.1818 8 2672 3 2414
176 -5.56769 -11.6104 42.8977 31 26 20 0.0757222 8 2711 3 1582
177 -6.05427 -9.20833 42.3168 104 121 141 0.792915 8 2800 3 1554
178 7.95972 -5.53596 25.7375 112 107 101 1.4164 8 2814 3 2493
179 -6.33294 -7.07214 42.2701 31 105 200 0.0707198 8 2835 3 2518
181 -6.21692 3.06808 40.9366 103 121 143 0.473252 8 3030 3 1971
182 -6.61494 6.69054 36.8533 37 45 48 1.34181 8 3042 3 2880
183 20.2058 16.6604 44.5921 197 180 164 0.274336 8 3143 3 2259
184 10.8006 -5.66466 50.5279 97 98 90 0.462619 8 3267 3 1240
185 9.42989 -3.17642 38.0075 97 92 86 0.927128 8 3274 3 2403
186 2.79223 -0.625016 27.4693 44 45 34 2.2304 8 3318 3 804
187 -6.2257 2.76772 40.9094 73 91 113 0.469953 8 3367 3 1833
188 -6.21692 3.06808 40.9366 103 121 143 0.473252 8 3372 3 1836
189 -6.61494 6.69054 36.8533 37 45 48 1.34181 8 3440 3 3164
190 7.0055 5.69726 31.454 165 131 94 0.587255 8 3454 3 3100
191 5.91285 5.69054 31.217 82 58 30 0.112129 8 3457 3 2869
192 6.74607 5.72542 31.2878 126 97 65 0.00100793 8 3460 3 3106
